text,lang
Artificial Intelligence is changing the world.!,en
Artificial Intelligence,en
 is changing the world.,en
  Artificial Intelligence is changing the world.  ,en
Artificial  Intelligence  is  changing  the  world.,en
User: Artificial Intelligence is changing the world.,en
Artificial Intelligence is changing the world. (detected),en
Have a great weekend everyone!,en
have a great weekend everyone!,en
HAVE A GREAT WEEKEND EVERYONE!,en
Have a great weekend everyone!,en
Have a great weekend everyone!,en
Have a great weekend everyone!,en
Have a great weekend everyone!.,en
Have a great weekend everyone!!,en
Have a great we,en
ekend everyone!,en
  Have a great weekend everyone!  ,en
Have  a  great  weekend  everyone!,en
User: Have a great weekend everyone!,en
Have a great weekend everyone! (detected),en
I love learning new programming languages.,en
i love learning new programming languages.,en
I LOVE LEARNING NEW PROGRAMMING LANGUAGES.,en
I love learning new programming languages.,en
I love learning new programming languages.,en
I love learning new programming languages...,en
I love learning new programming languages..,en
I love learning new programming languages.!,en
I love learning new p,en
rogramming languages.,en
  I love learning new programming languages.  ,en
I  love  learning  new  programming  languages.,en
User: I love learning new programming languages.,en
I love learning new programming languages. (detected),en
Can you help me with this task?,en
can you help me with this task?,en
CAN YOU HELP ME WITH THIS TASK?,en
Can you help me with this task?,en
Can you help me with this task!,en
Can you help me with this task?,en
Can you help me with this task?.,en
Can you help me with this task?!,en
Can you help me,en
 with this task?,en
  Can you help me with this task?  ,en
Can  you  help  me  with  this  task?,en
User: Can you help me with this task?,en
Can you help me with this task? (detected),en
See you later at the meeting.,en
see you later at the meeting.,en
SEE YOU LATER AT THE MEETING.,en
See you later at the meeting.,en
See you later at the meeting.,en
See you later at the meeting...,en
See you later at the meeting..,en
See you later at the meeting.!,en
See you later ,en
at the meeting.,en
  See you later at the meeting.  ,en
See  you  later  at  the  meeting.,en
User: See you later at the meeting.,en
See you later at the meeting. (detected),en
Water is essential for life.,en
water is essential for life.,en
WATER IS ESSENTIAL FOR LIFE.,en
Water is essential for life.,en
Water is essential for life.,en
Water is essential for life...,en
Water is essential for life..,en
Water is essential for life.!,en
Water is essen,en
tial for life.,en
  Water is essential for life.  ,en
Water  is  essential  for  life.,en
User: Water is essential for life.,en
Water is essential for life. (detected),en
The quick brown fox jumps over the lazy dog.,en
the quick brown fox jumps over the lazy dog.,en
THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.,en
The quick brown fox jumps over the lazy dog.,en
The quick brown fox jumps over the lazy dog.,en
The quick brown fox jumps over the lazy dog...,en
The quick brown fox jumps over the lazy dog..,en
The quick brown fox jumps over the lazy dog.!,en
The quick brown fox ju,en
mps over the lazy dog.,en
  The quick brown fox jumps over the lazy dog.  ,en
The  quick  brown  fox  jumps  over  the  lazy  dog.,en
User: The quick brown fox jumps over the lazy dog.,en
The quick brown fox jumps over the lazy dog. (detected),en
"Success is not final, failure is not fatal.",en
"success is not final, failure is not fatal.",en
"SUCCESS IS NOT FINAL, FAILURE IS NOT FATAL.",en
"Success is not final, failure is not fatal.",en
"Success is not final, failure is not fatal.",en
"Success is not final, failure is not fatal...",en
"Success is not final, failure is not fatal..",en
"Success is not final, failure is not fatal.!",en
"Success is not final,",en
 failure is not fatal.,en
"  Success is not final, failure is not fatal.  ",en
"Success  is  not  final,  failure  is  not  fatal.",en
"User: Success is not final, failure is not fatal.",en
"Success is not final, failure is not fatal. (detected)",en
"To be or not to be, that is the question.",en
"to be or not to be, that is the question.",en
"TO BE OR NOT TO BE, THAT IS THE QUESTION.",en
"To be or not to be, that is the question.",en
"To be or not to be, that is the question.",en
"To be or not to be, that is the question...",en
"To be or not to be, that is the question..",en
"To be or not to be, that is the question.!",en
"To be or not to be, ",en
that is the question.,en
"  To be or not to be, that is the question.  ",en
"To  be  or  not  to  be,  that  is  the  question.",en
"User: To be or not to be, that is the question.",en
"To be or not to be, that is the question. (detected)",en
I am currently working on a deep learning project.,en
i am currently working on a deep learning project.,en
I AM CURRENTLY WORKING ON A DEEP LEARNING PROJECT.,en
I am currently working on a deep learning project.,en
I am currently working on a deep learning project.,en
I am currently working on a deep learning project...,en
I am currently working on a deep learning project..,en
I am currently working on a deep learning project.!,en
I am currently working on,en
 a deep learning project.,en
  I am currently working on a deep learning project.  ,en
I  am  currently  working  on  a  deep  learning  project.,en
User: I am currently working on a deep learning project.,en
I am currently working on a deep learning project. (detected),en
Would you like to go for a walk in the park?,en
would you like to go for a walk in the park?,en
WOULD YOU LIKE TO GO FOR A WALK IN THE PARK?,en
Would you like to go for a walk in the park?,en
Would you like to go for a walk in the park!,en
Would you like to go for a walk in the park?,en
Would you like to go for a walk in the park?.,en
Would you like to go for a walk in the park?!,en
Would you like to go f,en
or a walk in the park?,en
  Would you like to go for a walk in the park?  ,en
Would  you  like  to  go  for  a  walk  in  the  park?,en
User: Would you like to go for a walk in the park?,en
Would you like to go for a walk in the park? (detected),en
The world is full of wonderful things to discover.,en
the world is full of wonderful things to discover.,en
THE WORLD IS FULL OF WONDERFUL THINGS TO DISCOVER.,en
The world is full of wonderful things to discover.,en
The world is full of wonderful things to discover.,en
The world is full of wonderful things to discover...,en
The world is full of wonderful things to discover..,en
The world is full of wonderful things to discover.!,en
The world is full of wond,en
erful things to discover.,en
  The world is full of wonderful things to discover.  ,en
The  world  is  full  of  wonderful  things  to  discover.,en
User: The world is full of wonderful things to discover.,en
The world is full of wonderful things to discover. (detected),en
Education is the key to unlocking the world.,en
education is the key to unlocking the world.,en
EDUCATION IS THE KEY TO UNLOCKING THE WORLD.,en
Education is the key to unlocking the world.,en
Education is the key to unlocking the world.,en
Education is the key to unlocking the world...,en
Education is the key to unlocking the world..,en
Education is the key to unlocking the world.!,en
Education is the key t,en
o unlocking the world.,en
  Education is the key to unlocking the world.  ,en
Education  is  the  key  to  unlocking  the  world.,en
User: Education is the key to unlocking the world.,en
Education is the key to unlocking the world. (detected),en
History is a gallery of pictures in which there are few originals.,en
history is a gallery of pictures in which there are few originals.,en
HISTORY IS A GALLERY OF PICTURES IN WHICH THERE ARE FEW ORIGINALS.,en
History is a gallery of pictures in which there are few originals.,en
History is a gallery of pictures in which there are few originals.,en
History is a gallery of pictures in which there are few originals...,en
History is a gallery of pictures in which there are few originals..,en
History is a gallery of pictures in which there are few originals.!,en
History is a gallery of pictures ,en
in which there are few originals.,en
  History is a gallery of pictures in which there are few originals.  ,en
History  is  a  gallery  of  pictures  in  which  there  are  few  originals.,en
User: History is a gallery of pictures in which there are few originals.,en
History is a gallery of pictures in which there are few originals. (detected),en
In the middle of every difficulty lies opportunity.,en
in the middle of every difficulty lies opportunity.,en
IN THE MIDDLE OF EVERY DIFFICULTY LIES OPPORTUNITY.,en
In the middle of every difficulty lies opportunity.,en
In the middle of every difficulty lies opportunity.,en
In the middle of every difficulty lies opportunity...,en
In the middle of every difficulty lies opportunity..,en
In the middle of every difficulty lies opportunity.!,en
In the middle of every di,en
fficulty lies opportunity.,en
  In the middle of every difficulty lies opportunity.  ,en
In  the  middle  of  every  difficulty  lies  opportunity.,en
User: In the middle of every difficulty lies opportunity.,en
In the middle of every difficulty lies opportunity. (detected),en
"Hola, ¿cómo estás hoy?",es
"hola, ¿cómo estás hoy?",es
"HOLA, ¿CÓMO ESTÁS HOY?",es
"Hola, ¿cómo estás hoy?",es
"Hola, ¿cómo estás hoy!",es
"Hola, ¿cómo estás hoy?",es
"Hola, ¿cómo estás hoy?.",es
"Hola, ¿cómo estás hoy?!",es
"Hola, ¿cómo",es
 estás hoy?,es
"  Hola, ¿cómo estás hoy?  ",es
"Hola,  ¿cómo  estás  hoy?",es
"User: Hola, ¿cómo estás hoy?",es
"Hola, ¿cómo estás hoy? (detected)",es
"El clima es muy agradable, ¿verdad?",es
"el clima es muy agradable, ¿verdad?",es
"EL CLIMA ES MUY AGRADABLE, ¿VERDAD?",es
"El clima es muy agradable, ¿verdad?",es
"El clima es muy agradable, ¿verdad!",es
"El clima es muy agradable, ¿verdad?",es
"El clima es muy agradable, ¿verdad?.",es
"El clima es muy agradable, ¿verdad?!",es
El clima es muy a,es
"gradable, ¿verdad?",es
"  El clima es muy agradable, ¿verdad?  ",es
"El  clima  es  muy  agradable,  ¿verdad?",es
"User: El clima es muy agradable, ¿verdad?",es
"El clima es muy agradable, ¿verdad? (detected)",es
"Me gustaría pedir un café grande, por favor.",es
"me gustaría pedir un café grande, por favor.",es
"ME GUSTARÍA PEDIR UN CAFÉ GRANDE, POR FAVOR.",es
"Me gustaría pedir un café grande, por favor.",es
"Me gustaría pedir un café grande, por favor.",es
"Me gustaría pedir un café grande, por favor...",es
"Me gustaría pedir un café grande, por favor..",es
"Me gustaría pedir un café grande, por favor.!",es
Me gustaría pedir un c,es
"afé grande, por favor.",es
"  Me gustaría pedir un café grande, por favor.  ",es
"Me  gustaría  pedir  un  café  grande,  por  favor.",es
"User: Me gustaría pedir un café grande, por favor.",es
"Me gustaría pedir un café grande, por favor. (detected)",es
¿Dónde está la estación de tren más cercana?,es
¿dónde está la estación de tren más cercana?,es
¿DÓNDE ESTÁ LA ESTACIÓN DE TREN MÁS CERCANA?,es
¿dónde está la estación de tren más cercana?,es
¿Dónde está la estación de tren más cercana!,es
¿Dónde está la estación de tren más cercana?,es
¿Dónde está la estación de tren más cercana?.,es
¿Dónde está la estación de tren más cercana?!,es
¿Dónde está la estació,es
n de tren más cercana?,es
  ¿Dónde está la estación de tren más cercana?  ,es
¿Dónde  está  la  estación  de  tren  más  cercana?,es
User: ¿Dónde está la estación de tren más cercana?,es
¿Dónde está la estación de tren más cercana? (detected),es
La inteligencia artificial está cambiando el mundo.,es
la inteligencia artificial está cambiando el mundo.,es
LA INTELIGENCIA ARTIFICIAL ESTÁ CAMBIANDO EL MUNDO.,es
La inteligencia artificial está cambiando el mundo.,es
La inteligencia artificial está cambiando el mundo.,es
La inteligencia artificial está cambiando el mundo...,es
La inteligencia artificial está cambiando el mundo..,es
La inteligencia artificial está cambiando el mundo.!,es
La inteligencia artificia,es
l está cambiando el mundo.,es
  La inteligencia artificial está cambiando el mundo.  ,es
La  inteligencia  artificial  está  cambiando  el  mundo.,es
User: La inteligencia artificial está cambiando el mundo.,es
La inteligencia artificial está cambiando el mundo. (detected),es
¡Que tengan un buen fin de semana todos!,es
¡que tengan un buen fin de semana todos!,es
¡QUE TENGAN UN BUEN FIN DE SEMANA TODOS!,es
¡que tengan un buen fin de semana todos!,es
¡Que tengan un buen fin de semana todos!,es
¡Que tengan un buen fin de semana todos!,es
¡Que tengan un buen fin de semana todos!.,es
¡Que tengan un buen fin de semana todos!!,es
¡Que tengan un buen ,es
fin de semana todos!,es
  ¡Que tengan un buen fin de semana todos!  ,es
¡Que  tengan  un  buen  fin  de  semana  todos!,es
User: ¡Que tengan un buen fin de semana todos!,es
¡Que tengan un buen fin de semana todos! (detected),es
Me encanta aprender nuevos lenguajes de programación.,es
me encanta aprender nuevos lenguajes de programación.,es
ME ENCANTA APRENDER NUEVOS LENGUAJES DE PROGRAMACIÓN.,es
Me encanta aprender nuevos lenguajes de programación.,es
Me encanta aprender nuevos lenguajes de programación.,es
Me encanta aprender nuevos lenguajes de programación...,es
Me encanta aprender nuevos lenguajes de programación..,es
Me encanta aprender nuevos lenguajes de programación.!,es
Me encanta aprender nuevos,es
 lenguajes de programación.,es
  Me encanta aprender nuevos lenguajes de programación.  ,es
Me  encanta  aprender  nuevos  lenguajes  de  programación.,es
User: Me encanta aprender nuevos lenguajes de programación.,es
Me encanta aprender nuevos lenguajes de programación. (detected),es
¿Puedes ayudarme con esta tarea?,es
¿puedes ayudarme con esta tarea?,es
¿PUEDES AYUDARME CON ESTA TAREA?,es
¿puedes ayudarme con esta tarea?,es
¿Puedes ayudarme con esta tarea!,es
¿Puedes ayudarme con esta tarea?,es
¿Puedes ayudarme con esta tarea?.,es
¿Puedes ayudarme con esta tarea?!,es
¿Puedes ayudarme,es
 con esta tarea?,es
  ¿Puedes ayudarme con esta tarea?  ,es
¿Puedes  ayudarme  con  esta  tarea?,es
User: ¿Puedes ayudarme con esta tarea?,es
¿Puedes ayudarme con esta tarea? (detected),es
Nos vemos luego en la reunión.,es
nos vemos luego en la reunión.,es
NOS VEMOS LUEGO EN LA REUNIÓN.,es
Nos vemos luego en la reunión.,es
Nos vemos luego en la reunión.,es
Nos vemos luego en la reunión...,es
Nos vemos luego en la reunión..,es
Nos vemos luego en la reunión.!,es
Nos vemos luego,es
 en la reunión.,es
  Nos vemos luego en la reunión.  ,es
Nos  vemos  luego  en  la  reunión.,es
User: Nos vemos luego en la reunión.,es
Nos vemos luego en la reunión. (detected),es
El agua es esencial para la vida.,es
el agua es esencial para la vida.,es
EL AGUA ES ESENCIAL PARA LA VIDA.,es
El agua es esencial para la vida.,es
El agua es esencial para la vida.,es
El agua es esencial para la vida...,es
El agua es esencial para la vida..,es
El agua es esencial para la vida.!,es
El agua es esenc,es
ial para la vida.,es
  El agua es esencial para la vida.  ,es
El  agua  es  esencial  para  la  vida.,es
User: El agua es esencial para la vida.,es
El agua es esencial para la vida. (detected),es
El veloz zorro marrón salta sobre el perro perezoso.,es
el veloz zorro marrón salta sobre el perro perezoso.,es
EL VELOZ ZORRO MARRÓN SALTA SOBRE EL PERRO PEREZOSO.,es
El veloz zorro marrón salta sobre el perro perezoso.,es
El veloz zorro marrón salta sobre el perro perezoso.,es
El veloz zorro marrón salta sobre el perro perezoso...,es
El veloz zorro marrón salta sobre el perro perezoso..,es
El veloz zorro marrón salta sobre el perro perezoso.!,es
El veloz zorro marrón salt,es
a sobre el perro perezoso.,es
  El veloz zorro marrón salta sobre el perro perezoso.  ,es
El  veloz  zorro  marrón  salta  sobre  el  perro  perezoso.,es
User: El veloz zorro marrón salta sobre el perro perezoso.,es
El veloz zorro marrón salta sobre el perro perezoso. (detected),es
"El éxito no es el final, el fracaso no es fatal.",es
"el éxito no es el final, el fracaso no es fatal.",es
"EL ÉXITO NO ES EL FINAL, EL FRACASO NO ES FATAL.",es
"El éxito no es el final, el fracaso no es fatal.",es
"El éxito no es el final, el fracaso no es fatal.",es
"El éxito no es el final, el fracaso no es fatal...",es
"El éxito no es el final, el fracaso no es fatal..",es
"El éxito no es el final, el fracaso no es fatal.!",es
"El éxito no es el final,",es
 el fracaso no es fatal.,es
"  El éxito no es el final, el fracaso no es fatal.  ",es
"El  éxito  no  es  el  final,  el  fracaso  no  es  fatal.",es
"User: El éxito no es el final, el fracaso no es fatal.",es
"El éxito no es el final, el fracaso no es fatal. (detected)",es
"Ser o no ser, esa es la cuestión.",es
"ser o no ser, esa es la cuestión.",es
"SER O NO SER, ESA ES LA CUESTIÓN.",es
"Ser o no ser, esa es la cuestión.",es
"Ser o no ser, esa es la cuestión.",es
"Ser o no ser, esa es la cuestión...",es
"Ser o no ser, esa es la cuestión..",es
"Ser o no ser, esa es la cuestión.!",es
"Ser o no ser, es",es
a es la cuestión.,es
"  Ser o no ser, esa es la cuestión.  ",es
"Ser  o  no  ser,  esa  es  la  cuestión.",es
"User: Ser o no ser, esa es la cuestión.",es
"Ser o no ser, esa es la cuestión. (detected)",es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo.,es
actualmente estoy trabajando en un proyecto de aprendizaje profundo.,es
ACTUALMENTE ESTOY TRABAJANDO EN UN PROYECTO DE APRENDIZAJE PROFUNDO.,es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo.,es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo.,es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo...,es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo..,es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo.!,es
Actualmente estoy trabajando en un,es
 proyecto de aprendizaje profundo.,es
  Actualmente estoy trabajando en un proyecto de aprendizaje profundo.  ,es
Actualmente  estoy  trabajando  en  un  proyecto  de  aprendizaje  profundo.,es
User: Actualmente estoy trabajando en un proyecto de aprendizaje profundo.,es
Actualmente estoy trabajando en un proyecto de aprendizaje profundo. (detected),es
¿Te gustaría ir a dar un paseo por el parque?,es
¿te gustaría ir a dar un paseo por el parque?,es
¿TE GUSTARÍA IR A DAR UN PASEO POR EL PARQUE?,es
¿te gustaría ir a dar un paseo por el parque?,es
¿Te gustaría ir a dar un paseo por el parque!,es
¿Te gustaría ir a dar un paseo por el parque?,es
¿Te gustaría ir a dar un paseo por el parque?.,es
¿Te gustaría ir a dar un paseo por el parque?!,es
¿Te gustaría ir a dar ,es
un paseo por el parque?,es
  ¿Te gustaría ir a dar un paseo por el parque?  ,es
¿Te  gustaría  ir  a  dar  un  paseo  por  el  parque?,es
User: ¿Te gustaría ir a dar un paseo por el parque?,es
¿Te gustaría ir a dar un paseo por el parque? (detected),es
El mundo está lleno de cosas maravillosas por descubrir.,es
el mundo está lleno de cosas maravillosas por descubrir.,es
EL MUNDO ESTÁ LLENO DE COSAS MARAVILLOSAS POR DESCUBRIR.,es
El mundo está lleno de cosas maravillosas por descubrir.,es
El mundo está lleno de cosas maravillosas por descubrir.,es
El mundo está lleno de cosas maravillosas por descubrir...,es
El mundo está lleno de cosas maravillosas por descubrir..,es
El mundo está lleno de cosas maravillosas por descubrir.!,es
El mundo está lleno de cosas,es
 maravillosas por descubrir.,es
  El mundo está lleno de cosas maravillosas por descubrir.  ,es
El  mundo  está  lleno  de  cosas  maravillosas  por  descubrir.,es
User: El mundo está lleno de cosas maravillosas por descubrir.,es
El mundo está lleno de cosas maravillosas por descubrir. (detected),es
La educación es la clave para desbloquear el mundo.,es
la educación es la clave para desbloquear el mundo.,es
LA EDUCACIÓN ES LA CLAVE PARA DESBLOQUEAR EL MUNDO.,es
La educación es la clave para desbloquear el mundo.,es
La educación es la clave para desbloquear el mundo.,es
La educación es la clave para desbloquear el mundo...,es
La educación es la clave para desbloquear el mundo..,es
La educación es la clave para desbloquear el mundo.!,es
La educación es la clave ,es
para desbloquear el mundo.,es
  La educación es la clave para desbloquear el mundo.  ,es
La  educación  es  la  clave  para  desbloquear  el  mundo.,es
User: La educación es la clave para desbloquear el mundo.,es
La educación es la clave para desbloquear el mundo. (detected),es
La historia es una galería de cuadros en la que hay pocos originales.,es
la historia es una galería de cuadros en la que hay pocos originales.,es
LA HISTORIA ES UNA GALERÍA DE CUADROS EN LA QUE HAY POCOS ORIGINALES.,es
La historia es una galería de cuadros en la que hay pocos originales.,es
La historia es una galería de cuadros en la que hay pocos originales.,es
La historia es una galería de cuadros en la que hay pocos originales...,es
La historia es una galería de cuadros en la que hay pocos originales..,es
La historia es una galería de cuadros en la que hay pocos originales.!,es
La historia es una galería de cuad,es
ros en la que hay pocos originales.,es
  La historia es una galería de cuadros en la que hay pocos originales.  ,es
La  historia  es  una  galería  de  cuadros  en  la  que  hay  pocos  originales.,es
User: La historia es una galería de cuadros en la que hay pocos originales.,es
La historia es una galería de cuadros en la que hay pocos originales. (detected),es
En medio de cada dificultad se encuentra la oportunidad.,es
en medio de cada dificultad se encuentra la oportunidad.,es
EN MEDIO DE CADA DIFICULTAD SE ENCUENTRA LA OPORTUNIDAD.,es
En medio de cada dificultad se encuentra la oportunidad.,es
En medio de cada dificultad se encuentra la oportunidad.,es
En medio de cada dificultad se encuentra la oportunidad...,es
En medio de cada dificultad se encuentra la oportunidad..,es
En medio de cada dificultad se encuentra la oportunidad.!,es
En medio de cada dificultad ,es
se encuentra la oportunidad.,es
  En medio de cada dificultad se encuentra la oportunidad.  ,es
En  medio  de  cada  dificultad  se  encuentra  la  oportunidad.,es
User: En medio de cada dificultad se encuentra la oportunidad.,es
En medio de cada dificultad se encuentra la oportunidad. (detected),es
"Bonjour, comment allez-vous aujourd'hui ?",fr
"bonjour, comment allez-vous aujourd'hui ?",fr
"BONJOUR, COMMENT ALLEZ-VOUS AUJOURD'HUI ?",fr
"Bonjour, comment allez-vous aujourd'hui ?",fr
"Bonjour, comment allez-vous aujourd'hui !",fr
"Bonjour, comment allez-vous aujourd'hui ?",fr
"Bonjour, comment allez-vous aujourd'hui ?.",fr
"Bonjour, comment allez-vous aujourd'hui ?!",fr
"Bonjour, comment all",fr
ez-vous aujourd'hui ?,fr
"  Bonjour, comment allez-vous aujourd'hui ?  ",fr
"Bonjour,  comment  allez-vous  aujourd'hui  ?",fr
"User: Bonjour, comment allez-vous aujourd'hui ?",fr
"Bonjour, comment allez-vous aujourd'hui ? (detected)",fr
"Il fait beau aujourd'hui, n'est-ce pas ?",fr
"il fait beau aujourd'hui, n'est-ce pas ?",fr
"IL FAIT BEAU AUJOURD'HUI, N'EST-CE PAS ?",fr
"Il fait beau aujourd'hui, n'est-ce pas ?",fr
"Il fait beau aujourd'hui, n'est-ce pas !",fr
"Il fait beau aujourd'hui, n'est-ce pas ?",fr
"Il fait beau aujourd'hui, n'est-ce pas ?.",fr
"Il fait beau aujourd'hui, n'est-ce pas ?!",fr
Il fait beau aujourd,fr
"'hui, n'est-ce pas ?",fr
"  Il fait beau aujourd'hui, n'est-ce pas ?  ",fr
"Il  fait  beau  aujourd'hui,  n'est-ce  pas  ?",fr
"User: Il fait beau aujourd'hui, n'est-ce pas ?",fr
"Il fait beau aujourd'hui, n'est-ce pas ? (detected)",fr
"Je voudrais commander un grand café, s'il vous plaît.",fr
"je voudrais commander un grand café, s'il vous plaît.",fr
"JE VOUDRAIS COMMANDER UN GRAND CAFÉ, S'IL VOUS PLAÎT.",fr
"Je voudrais commander un grand café, s'il vous plaît.",fr
"Je voudrais commander un grand café, s'il vous plaît.",fr
"Je voudrais commander un grand café, s'il vous plaît...",fr
"Je voudrais commander un grand café, s'il vous plaît..",fr
"Je voudrais commander un grand café, s'il vous plaît.!",fr
Je voudrais commander un g,fr
"rand café, s'il vous plaît.",fr
"  Je voudrais commander un grand café, s'il vous plaît.  ",fr
"Je  voudrais  commander  un  grand  café,  s'il  vous  plaît.",fr
"User: Je voudrais commander un grand café, s'il vous plaît.",fr
"Je voudrais commander un grand café, s'il vous plaît. (detected)",fr
Où est la gare la plus proche ?,fr
où est la gare la plus proche ?,fr
OÙ EST LA GARE LA PLUS PROCHE ?,fr
Où est la gare la plus proche ?,fr
Où est la gare la plus proche !,fr
Où est la gare la plus proche ?,fr
Où est la gare la plus proche ?.,fr
Où est la gare la plus proche ?!,fr
Où est la gare ,fr
la plus proche ?,fr
  Où est la gare la plus proche ?  ,fr
Où  est  la  gare  la  plus  proche  ?,fr
User: Où est la gare la plus proche ?,fr
Où est la gare la plus proche ? (detected),fr
L'intelligence artificielle change le monde.,fr
l'intelligence artificielle change le monde.,fr
L'INTELLIGENCE ARTIFICIELLE CHANGE LE MONDE.,fr
L'intelligence artificielle change le monde.,fr
L'intelligence artificielle change le monde.,fr
L'intelligence artificielle change le monde...,fr
L'intelligence artificielle change le monde..,fr
L'intelligence artificielle change le monde.!,fr
L'intelligence artific,fr
ielle change le monde.,fr
  L'intelligence artificielle change le monde.  ,fr
L'intelligence  artificielle  change  le  monde.,fr
User: L'intelligence artificielle change le monde.,fr
L'intelligence artificielle change le monde. (detected),fr
Passez un excellent week-end à tous !,fr
passez un excellent week-end à tous !,fr
PASSEZ UN EXCELLENT WEEK-END À TOUS !,fr
Passez un excellent week-end à tous !,fr
Passez un excellent week-end à tous !,fr
Passez un excellent week-end à tous !,fr
Passez un excellent week-end à tous !.,fr
Passez un excellent week-end à tous !!,fr
Passez un excellen,fr
t week-end à tous !,fr
  Passez un excellent week-end à tous !  ,fr
Passez  un  excellent  week-end  à  tous  !,fr
User: Passez un excellent week-end à tous !,fr
Passez un excellent week-end à tous ! (detected),fr
J'adore apprendre de nouveaux langages de programmation.,fr
j'adore apprendre de nouveaux langages de programmation.,fr
J'ADORE APPRENDRE DE NOUVEAUX LANGAGES DE PROGRAMMATION.,fr
J'adore apprendre de nouveaux langages de programmation.,fr
J'adore apprendre de nouveaux langages de programmation.,fr
J'adore apprendre de nouveaux langages de programmation...,fr
J'adore apprendre de nouveaux langages de programmation..,fr
J'adore apprendre de nouveaux langages de programmation.!,fr
J'adore apprendre de nouveau,fr
x langages de programmation.,fr
  J'adore apprendre de nouveaux langages de programmation.  ,fr
J'adore  apprendre  de  nouveaux  langages  de  programmation.,fr
User: J'adore apprendre de nouveaux langages de programmation.,fr
J'adore apprendre de nouveaux langages de programmation. (detected),fr
Pouvez-vous m'aider avec cette tâche ?,fr
pouvez-vous m'aider avec cette tâche ?,fr
POUVEZ-VOUS M'AIDER AVEC CETTE TÂCHE ?,fr
Pouvez-vous m'aider avec cette tâche ?,fr
Pouvez-vous m'aider avec cette tâche !,fr
Pouvez-vous m'aider avec cette tâche ?,fr
Pouvez-vous m'aider avec cette tâche ?.,fr
Pouvez-vous m'aider avec cette tâche ?!,fr
Pouvez-vous m'aider,fr
 avec cette tâche ?,fr
  Pouvez-vous m'aider avec cette tâche ?  ,fr
Pouvez-vous  m'aider  avec  cette  tâche  ?,fr
User: Pouvez-vous m'aider avec cette tâche ?,fr
Pouvez-vous m'aider avec cette tâche ? (detected),fr
On se voit plus tard à la réunion.,fr
on se voit plus tard à la réunion.,fr
ON SE VOIT PLUS TARD À LA RÉUNION.,fr
On se voit plus tard à la réunion.,fr
On se voit plus tard à la réunion.,fr
On se voit plus tard à la réunion...,fr
On se voit plus tard à la réunion..,fr
On se voit plus tard à la réunion.!,fr
On se voit plus t,fr
ard à la réunion.,fr
  On se voit plus tard à la réunion.  ,fr
On  se  voit  plus  tard  à  la  réunion.,fr
User: On se voit plus tard à la réunion.,fr
On se voit plus tard à la réunion. (detected),fr
L'eau est essentielle à la vie.,fr
l'eau est essentielle à la vie.,fr
L'EAU EST ESSENTIELLE À LA VIE.,fr
L'eau est essentielle à la vie.,fr
L'eau est essentielle à la vie.,fr
